,entity,summary,headline
2150,TJX,"TJX Companies (TJX) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,,,,,,",TJX Companies (TJX) Up 9.5% Since Earnings Report: Can It Continue?
2151,CAG,"Pinnacle Foods Inc.                                                                                                                                                                                                      ...,,,,,,",Pinnacle Foods set to beat profit view but miss on sales; buyer Conagra's stock falls on stock offering
2152,JPM,"Shareholder activism in Asia should increase steadily after campaigns in the region rose more than tenfold in the last six years, according to JPMorgan Chase & Co.,,,,,,","Shareholder Activism in Asia Set to Keep Climbing, JPMorgan Says"
2153,PFE,"NA,,,,,,",Pfizer's tafamidis successful in latestage study in rare heart failure condition
2154,ED,"NEW DELHI: The request for extradition of fugitive diamantaire Mehul Choksi is being ""examined"" by Antigua and Barbuda, the Ministry of External Affairs said Thursday. Answering a question on Choksi, MEA Spokesperson Raveesh Kumar at a briefing sa...,,,,,,",Antigua 'examining' Choksi's extradition request: MEA
2155,CTL,"NA,,,,,,",Top Consumer Company Near 52Week Low Yields 5.89%: Seeks Redemption In India
2156,AAL,"- “Ramaphoria” boosted the rand and revived investor sentiment on South Africa. But deep underground in the country’s platinum mines, there’s very little cause for optimism.,,,,,,",Shrinking Platinum Sector Adds to Ramaphosa's Economy Challenge(Bloomberg) 
2157,BAC,"Bank of America Merrill Lynch reiterates its buy rating for Nvidia shares.,,,,,,",Bank of America says buy Nvidia into the tech slide because a big year for chipmaker is ahead
2158,APA,"WASHINGTON, June 12 (Reuters) - The U.S. State Department has approved a possible $930 million sale to India of items in support of a proposed direct commercial sale of six AH-64E Apache helicopters, a Pentagon agency said on Tuesday.,,,,,,",U.S. State Dept OKs possible helicopter support sale to India Pentagon
2159,UAL,"United Airlines is courting business-class travelers with a private terminal at LAX.,,,,,,",United is offering highpaying customers their own airport terminal
2160,INTC,"Intel Corporation (NASDAQ: INTC) shares were up 10 percent Friday after the company’s fourth-quarter earnings report blew expectations out of the ...,,,,,,",Intel (NASDAQ:INTC)'s Earnings Beat: The SellSide Weighs In
2161,PLD,"Prologis (NYSE:PLD) Q3 2018 Results Earnings Conference Call October 16, 2018, 12:00 PM ET Executives Tracy Ward - SVP, IR and Corporate Communications Tom Olin,,,,,,",Prologis (PLD) CEO Hamid Moghadam on Q3 2018 Results  Earnings Call Transcript
2162,ORCL,nan,Appeals court decision reignites Oracle v. Google
2163,MMM,nan,How To Retire Comfortably By 62 With A Million
2164,EBAY,"The San Francisco Bay Area's housing market is so bleak, even tech workers are struggling to buy a home there. A survey by Blind found that 59% of employees at Bay Area tech companies said they cannot afford homes. Cisco, eBay, and Intuit had the ...,,,,,,","San Francisco's housing market is so out of control, 60% of tech workers say they can't afford homes"
2165,DTE,"DTE Energy (DTE) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,,,,,,",Why Is DTE Energy (DTE) Down 2.5% Since its Last Earnings Report?
2166,AEE,"quarter earnings estimates, thanks to new rates and recovering weather conditions in its service territories.,,,,,,",Is a Beat in the Cards for Ameren (AEE) in Q1 Earnings?Ameren (AEE) is likely to beat first
2167,GILD,"Gilead (GILD) reports positive data from an ongoing late stage study on HIV regimen, Biktarvy at 96 weeks.,,,,,,",Gilead Announces Positive Data From Ongoing Biktarvy Study
2168,CB,"Feb 5 (Reuters) - Property and casualty insurer Chubb Ltd on Monday named Michael Smith chief claims officer, effective immediately.,,,,,,",MOVESInsurer Chubb names Michael Smith as chief claims officer
2169,AGN,"NA,,,,,,",Tracking John Paulson's Paulson & Company Portfolio  Q2 2018 Update
2170,CL,nan,Dividend Sensei's Portfolio Update 34: Why The Future Of Work Will Be Glorious
2171,GOOGL,"The billionaire founder of China’s top internet search engine has declared he will fight fiercely and “win again” should Alphabet Inc.’s Google decide to return to the world’s largest internet arena.,,,,,,",Baidu's Billionaire CEO Declares He Can Beat Google Again
2172,CTSH,"NA,,,,,,",STMicroelectronics Is Inexpensive  Cramer's Lightning Round (6/1/18)
2173,HAS,"Hasbro says it has contingency plans for Toys R Us' bankruptcy filing and is projecting strong growth in 2018.,,,,,,",Hasbro shares soar on brand's confidence it can survive Toys R Us bankruptcy
2174,NDAQ,"home sales rebound-Exchange-traded funds that track the home-building sector rallied on Wednesday, as existing-home sales snapped a two-month losing streak. The SPDR S&P Homebuilders ETF rose 1% while the iShares U.S. Home Construction ETF jumped 1.4%. The PowerShar...,,,,,,",Homebuilder ETFs rally as existing
2175,MO,nan,"REITs: Kryptonite In Weak Hands, Golden Income In Strong Hands"
2176,GOOGL,"The General Data Protection Regulation (GDPR) that came into effect on May 25 has started to show its might.  Max Schrems, a prominent Australian privacy campaigner, has filed four different lawsuits against Facebook Inc. ( FB) and Alphabet Inc.’s...,,,,,,","Google, Facebook Face $8.8B GDPR Suits on Day One"
2177,EFX,"NA,,,,,,",Tracking William Von Mueffling's Cantillon Capital Management Portfolio  Q2 2018 Update
2178,DWDP,nan,DowDuPont: Attractive Valuation
2179,FTV,"June 6 (Reuters) - U.S. drug maker Johnson & Johnson said on Wednesday it received a binding cash offer of about $2.7 billion for its sterilization products business from Fortive Corp.,,,,,,",UPDATE 1J&J to sell sterilization unit to Fortive for $2.7 bln
2180,GS,"Goldman Sachs says executives will not attend Saudi conference,,,,,,",Goldman Sachs says executives will not attend Saudi conference
2181,ROK,nan,"Parker Hannifin, Rockwell Automation drop as Goldman downgrades"
2182,CTXS,"based services segment and buyout synergies is likely to boost Citrix's (CTXS) second-quarter results.,,,,,,",Citrix Systems (CTXS) Q2 Earnings: What's In the Offing?Impressive growth in subscription
2183,KHC,"Kraft Heinz has been widely speculated to be a logical bidder for Campbell, should it put itself up for sale.,,,,,,",Kraft Heinz passed on Pinnacle Foods and that means it may not want to buy Campbell Soup
2184,HP,nan,3 Energy Stocks
2185,HSY,"time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,",Hershey Q2 EPS $1.01 vs. 89 cents a year agoThis is a Real
2186,HON,"NA,,,,,,",Honeywell (HON) Safety & Productivity Solutions  Slideshow
2187,INTU,"digit revenue and earnings growth in its seasonally robust fiscal third quarter.,,,,,,",Intuit Secures a Rewarding Tax Season and Lifts 2018 GuidanceThe online tax services and small business accounting specialist booked double
2188,CSX,nan,Tracking How Far They Fell: July Service And Financial Sector Edition
2189,MMM,nan,The Fantastic 4 That Make FANG Look Tame
2190,MKC,"Intel, McCormick, and Altria all dominate their respective markets.,,,,,,",3 HighYield Stocks With Virtual Monopolies
2191,ADS,nan,World Cup fever filters down to some bottom lines
2192,DISH,"DISH Network should be commended for more disclosure, especially when that disclosure hurts the investment thesis.,,,,,,",Why DISH Network Corporation Sank 11% in February
2193,LLY,nan,Swinging For The Fence On Antares Pharma
2194,CTL,nan,For CenturyLink It Feels Like 2013 All Over Again
2195,GOOGL,"Techonomy Chief Executive Officer David Kirkpatrick discusses the outlook for this week's technology earnings including Google parent Alphabet Inc. which reports today. He speaks alongside Kristina Hooper, ...,,,,,,",Can Google Jump Start Momentum for FANG Stocks?
2196,ALXN,"Alexion Pharmaceuticals’ (ALXN) major products include Soliris, Strensiq, and Kanuma.  Soliris is a humanized monoclonal antibody targeted at treating inflammation associated with chronic disorders in several therapeutic areas, including hematolog...,,,,,,",Insight into Alexion Pharmaceuticals’ Solid Product Performance
2197,FOXA,nan,Wall Street Breakfast: Big Results Expected From 'Big Tech'
2198,NKTR,nan,Rounds Report: Aveo Catches A Big Payday With NHSScotland Approval Of Tivozanib
2199,BBT,nan,"Super Regional Banks Can Be Traded, But Are Not Great Investments"
2200,HON,nan,"Futures Up, Oil & Gas Prices Up, Deutsche Bank's CEO Out (Wall Street Breakfast Podcast)"
2201,MMC,"Marsh & McLennan Companies Inc has agreed to buy Jardine Lloyd Thompson for about 4.3 billion pounds in cash as the U.S. financial services group looks to boost its speciality risk broking and global reinsurance business.,,,,,,",Marsh & McLennan to buy UK broker JLT for £4.3 billion
2202,SWKS,"Jonathan Corpina of Meridian Equity Partners joins Yahoo Finance's Seana Smith from the floor of the New York Stock Exchange to discuss the latest market moves.Here's the performance of the Nasdaq 100 component stocks as of 2:30 pm ET:MELI,Mer...,,,,,",NYSE trader: I like tech stocks like Apple and Amazon that are household names
2203,SJM,nan,Steve Madden: Business Still Looks Strong Despite A Slumping Stock
2204,DIS,"First Century Fox Inc. is a “clear winner,” according to Jeffe...,,,,,,",Fox ‘Clear Winner’ With Analysts Looking to AT&T Ruling to Spur DealsWall Street expects that AT&T Inc. winning U.S. antitrust clearance to buy Time Warner Inc. will have widespread effects on planned and speculated deals across the media sector. Twenty
2205,MMM,nan,"Retire Early With Effectiveness And Financial Freedom, But Don't Forget The Softer Side"
2206,RTN,"WASHINGTON, March 29 (Reuters) - Raytheon Self Protect Systems, a subsidiary of Raytheon Co, has been awarded a $460 million contract for the AN/ALR-69A digital Radar Warning Receiver system, the Pentagon said on Thursday. (Reporting by Eric Walsh...,,,,,,",Raytheon wins $460 mln U.S. defense contract Pentagon
2207,KMI,"The Zacks Analyst Blog Highlights: Marathon Oil, Cenovus, Kinder Morgan, TransCanada and Enbridge,,,,,,","The Zacks Analyst Blog Highlights: Marathon Oil, Cenovus, Kinder Morgan, TransCanada and Enbridge"
2208,HES,"Alan Valdes, director of floor operations at Silverbear Capital, joins Yahoo Finance's Seana Smith from the New York Stock Exchange to discuss the latest market moves.Here's the Q2 performance of top S&P 500 stocks as of 1:30 pm ET:TWTR,Twitte...,,,,,",NYSE trader: I like big tech stocks and Home Depot heading into Q3
2209,BHGE,"BHGE earnings call for the period ending June 30, 2018.,,,,,,","Baker Hughes, a GE company (BHGE) Q2 2018 Earnings Conference Call Transcript"
2210,LMT,nan,Stocks To Watch: Tech Giants In The Spotlight
2211,MS,"commerce empire of Amazon than his entrepreneurial work at rocket-builder Blue Origin – but Morgan Stanley says that may change.,,,,,,",Amazon's rising stock gives Jeff Bezos 'financial muscle' in outer space equal to whole countriesJeff Bezos is better known for building the e
2212,LOW,"NA,,,,,,","Lowe's (LOW) CEO, Marvin Ellison on Q2 2018 Results  Earnings Call Transcript"
2213,DAL,"Delta Air Lines is about to start selling tickets on its new Airbus A220 jets this month. Flights will begin in January from New York aboard the planes whose sale Boeing disputed last year, saying they were illegally dumped in the U.S. below cost.,,,,,,",Delta to debut oncedisputed jets in New York this winter
2214,KORS,"time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,",Michael Kors Q3 adj. EPS $1.77; FactSet consensus $1.29This is a Real
2215,WM,"Is (WM) Outperforming Other Business Services Stocks This Year?,,,,,,",Is Waste Management (WM) Stock Outpacing Its Business Services Peers This Year?
2216,BSX,"Boston Scientific's (BSX) inorganic expansion plan bodes well for operational growth.,,,,,,",Here's Why You Should Buy Boston Scientific (BSX) Stock Now
2217,MAR,"year-old attorney James “S...,,,,,,","Hotel valet let random guy drive off in my $300K Ferrari: suitST. PETERSBURG, Fla. — The owner of a $300,000 Ferrari is suing Marriott International, saying a hotel valet gave his keys to a young man who was trying to impress a woman he just met. The Tampa Bay Times reports that 73"
2218,SRE,nan,"Sempra Energy reaches deal with Elliott, Bluescape"
2219,KIM,nan,"Hey Diddle Diddle, It's Time To Buy Urstadt Biddle"
2220,COF,"- On April 23, 2018, Westgate Resorts completed a securitization through Westgate Resorts 2018-1 LLC (the ""Issuer""). In connection with the securitization, 16 investor...,,,,,,","Westgate Resorts Completes Securitization of Timeshare LoansPR Newswire ORLANDO, Fla., May 1, 2018 ORLANDO, Fla., May 1, 2018 /PRNewswire/ "
2221,SYY,nan,Stocks To Watch: Any Privacy For Tesla?
2222,EL,"quarter fiscal 2018 results, wherein adjusted earnings of $1.52 per share beat the Zacks Consensus Estimate of $1.44.,,,,,,",Estee Lauder (EL) Beats on Q2 Earnings & Sales EstimatesEstee Lauder (EL) came out with second
2223,LEN,"family homes in highly sought-after Doylestown. PR Newswire DOYLESTOWN, Pa., July 10, 2018 DOYLESTOWN, P...,,,,,,","Lennar Helps Raise $10,000 for A Woman's Place at Pine Glen's 'Open Hands, Open Heart' EventLennar Helps Raise $10,000 for A Woman's Place at Pine Glen's 'Open Hands, Open Heart' Event Pine Glen offers an intimate enclave of 36 single"
2224,MRK,"NA,,,,,,",Merck Q4 revenues up 3%; nonGAAP EPS up 10; updates guidance
2225,JWN,nan,Not All Retailers Are The Same
2226,ABBV,"toe with Humira, wins EU panel nod-ZURICH, June 1 (Reuters) - Novartis's generics unit on Friday won a European panel's recommendation for its biosimilar version of AbbVie's Humira as the Swiss drugmaker aims to take a bite out of sales of one of the world's best-selling medicines.,,,,,,","Novartis, aiming to go toeto"
2227,C,"A former Citigroup Inc. broker’s claims that she was demoted because of her gender and fired for reporting a superior for violating rules designed to prevent insider trading is heading for arbitration.,,,,,,",Citigroup Wins Ruling Sending Broker's Bias Suit to Arbitration
2228,LUV,"support animals on planes. A passenger on Wednesday’s Phoenix-t...,,,,,,","Support dog reportedly bites girl as she boarded flightDALLAS — Southwest Airlines said Thursday that a dog injured a child as passengers boarded a flight in Phoenix, an event likely to fuel the debate over the growing number of emotional"
2229,BBY,nan,Best Buy severs ties with China's Huawei
2230,EMR,nan,Retirement Strategy: Cash Could Set You Free And Make You Money
2231,CSX,"It's been a rough six months for what had previously been North America's most efficient railroad. Is the worst now over for the company? ,,,,,,","Canadian National's CEO Is Exiting, Should Investors Follow?"
2232,CB,"The Zacks Analyst Blog Highlights: Alphabet, Chevron, Raytheon, Chubb and T. Rowe,,,,,,","The Zacks Analyst Blog Highlights: Alphabet, Chevron, Raytheon, Chubb and T. Rowe"
2233,UTX,"United Technologies Earnings miss, Revenue beats In Q3,,,,,,","United Technologies Earnings miss, Revenue beats In Q3"
2234,WM,"reduction initiatives and a steady annual dividend policy are likely to drive its Q4 earnings.,,,,,,","Waste Management (WM) Q4 Earnings: What's in the Cards?Waste Management's (WM) steady stream of accretive acquisitions, successful cost"
2235,GOOG,"Top tech blue chips, including Apple Inc. (NASDAQ: AAPL), Amazon.com, Inc. (NASDAQ: AMZN), Alphabet Inc Class A (NASDAQ: GOOGL) (NASDAQ: GOOG), are locked ...,,,,,,",Credit Suisse: Microsoft (NASDAQ:MSFT) Has Course Charted For $1Trillion Valuation
2236,GD,"General Dynamics (GD) is expected to gain from a robust product line along with recent buyouts.,,,,,,",General Dynamics (GD) Benefits From Budgetary Amendments
2237,LB,nan,"Johnson & Johnson: Dividend King And Dividend Growth, Buy The Dip, 20% Upside Potential"
2238,CMI,nan,Cummins to partner with KAMAZ
2239,EXC,"NA,,,,,,",Utilities Week In Review For June 48
2240,NOC,"The Zacks Analyst Blog Highlights: Amazon, Bristol-Myers, Time Warner, Northrop Grumman and Honda,,,,,,","The Zacks Analyst Blog Highlights: Amazon, BristolMyers, Time Warner, Northrop Grumman and Honda"
2241,ADP,"Based Associates-* AUTOMATIC DATA PROCESSING - OFFERING VOLUNTARY EARLY RETIREMENT PROGRAM TO SOME ELIGIBLE U.S.-BASED ASSOCIATES AGED 55/ABOVE WITH 10 YRS SERVICE,,,,,,",BRIEFADP Offers Voluntary Early Retirement Program To Certain U.S.
2242,MOS,"Gathering data on cryptocurrencies is the first step to robust research on the varied offerings, says Garrick Hileman of Mosaic.,,,,,,",This platform wants to provide data on cryptocurrencies
2243,PHM,nan,PulteGroup Does It Again
2244,CSCO,nan,Dividend Sensei's Portfolio Update 43: The 3 Essential Things All Investors Need To Get Rich
2245,GLW,"The weather is warming, but the construction boom is cooling off.,,,,,,","Goldman Sachs Sours on Construction: Whirlpool, Apogee, and Owens Corning Stocks Downgraded"
2246,CELG,nan,By The Numbers: Quality Stocks For A Cheap Price
2247,NOC,"Northrop Grumman (NOC) will provide Large Aircraft Infrared Counter Measures (LAIRCM) equipment and support.,,,,,,",Northrop Grumman's Unit Wins $210M Deal to Support LAIRCM
2248,MCK,"McKesson Corporation (MCK) delivers strong performance on the back of solid organic growth.,,,,,,",McKesson (MCK) Beats on Earnings and Sales in Q3
2249,JNJ,"week low.  The recent decline has come despite generally solid news from Johnson and Johnson so far this year.  Regulatory and legal concerns surrounding opioids have risen, but J...,,,,,,",Johnson & Johnson Stock Looks Attractive on the Big DipJNJ stock has fallen over 17% from its highs and now trades at a 52
2250,CXO,"NA,,,,,,",Concho Resources (CXO) Q2 2018 Results  Earnings Call Transcript
2251,JWN,"commerce and in-store shopping. Their investments in their stores seem to be paying off.,,,,,,","These retailers are beefing up their stores to survive a new era of shopping — and it's paying offWalmart, Target, Nordstrom, and Kohl's all reported strong earnings results in the most recent quarter after launching new initiatives to blend e"
2252,NEE,nan,My DGI Portfolio May Review
2253,ROST,nan,Dividend Sensei's Portfolio Update 37: How Warren Buffett's True Secret To Success Can Make You Rich
2254,PSX,"NA,,,,,,",Phillips 66's (PSX) CEO Greg Garland on Q4 2017 Results  Earnings Call Transcript
2255,RHT,nan,BMO Capital raises its Red Hat target
2256,DIS,"NA,,,,,,",Moffett: ComcastSky combo could fuel global OTT service
2257,BA,"Cintas, MPLX, and Boeing all appear to be hitting their strides lately and stand a good chance of rapidly growing their payouts.,,,,,,",3 Attractive Dividend Stocks Whose Dividends Could Double
2258,UNP,nan,Dividend Sensei's Portfolio Update 40: How Dividend Stocks Could Save You A Fortune During The Next Market Crash
2259,CAG,"wip and Slim Jim, beat profit expectations and raised its outlook. Net income for the quarter to Feb. 25 ros...,,,,,,","Conagra Brands' stock jumps after profit beat, raised outlookShares of Conagra Brands Inc. rallied 1.4% in premarket trade Thursday, after the branded food company, which brands include Hunt's, Reddi"
2260,LEN,nan,REITs Rally Following Strong Earnings Season
2261,HOG,"NA,,,,,,",HarleyDavidson declares $0.37 dividend
2262,MKC,"End-* T. ROWE PRICE HEAD OF FIXED INCOME TED WIESE TO STEP DOWN AT YEAR-END, RETIRE FROM FIRM NEXT MAY; VETERAN PORTFOLIO MANAGER ANDREW MCCORMICK TO TAKE OVER JANUARY 1, 2019 Source text for Eikon: Further company coverage:,,,,,,",BRIEFT. Rowe Price Head Of Fixed Income Ted Wiese To Step Down At Year
2263,CAG,"off deal with The J.M. Smucker Company.,,,,,,",Conagra (CAG) Terminates Wesson Brand's Divestment DealConagra Brands (CAG) announces termination of the Wesson brand spin
2264,WDC,nan,45 'Safer' Dividend Nasdaq Equities For June
2265,BEN,"Blue Apron's prospects went from bad to worse last month.,,,,,,","Why Blue Apron Holdings, Inc. Stock Plunged 28% in March"
2266,PM,"By Tom Lasseter, Duff Wilson, Thomas Wilson and Paritosh Bansal,,,,,,",Special Report: Philip Morris device knows a lot about your smoking habit
2267,DG,"Maintaining current profitability levels is a task every dollar retailer struggles with. Here's a look at Dollar General's approach in the current fiscal year.,,,,,,",5 Ways Dollar General Is Shoring Up Gross Margin
2268,ADBE,"Names on the move ahead of the open.,,,,,,","Stocks making the biggest move premarket: KR, TSLA, ADBE, HSY, WMT & more"
2269,BEN,"fetched, but it’s actually based on a real- life in...,,,,,,","Amber Stevens West says ‘Happy Together’ got creative hiding her baby bumpIn “Happy Together,” a hip young pop star flees the paparazzi to the least “cool” place you’d expect to find him: living in suburbia with a 30something married couple. That premise might seem far"
2270,PG,nan,Lanny's August Dividend Income Summary
2271,BAX,"NA,,,,,,",Baxter International (BAX) Q1 2018 Results  Earnings Call Transcript
2272,ADI,"NA,,,,,,","Microchip Looks Undervalued, But There Are ShortTerm Challenges To Consider"
2273,BEN," BlackRock Capital Investment, Evercore, Financial Engines, and Franklin Resources-PR Newswire NEW YORK, May 3, 2018 NEW YORK, May 3, 2018 /PRNewswire/ -- WallStEquities.com strives to bring the best free research to the investment community.  Today we are offering reports on BKCC, EVR, FNGN, and BEN which can be accessed for fr...,,,,,,",Quotidian Technical Highlights on Selected Asset Management Stocks 
2274,KMB,"This blog will keep track of key global and local developments impacting business and markets through the day. Important local and global political developments will also find resonance here.,,,,,,",News Live: North Korea's Kim invites South Korean president for summit  South Korea
2275,KMI,nan,FERC authorizes expansion of Kinder Morgan nat gas pipeline to Mexico
2276,GIS,nan,Nick's Portfolio Review Q1 2018
2277,DRI,"Yahoo Finance's Alexis Christoforous and Jared Blikre break down the latest market action after PepsiCo releases second quarter earnings. Here's the performance of select consumer stocks as of 10:30 am ET: PEP Pepsico Inc 3.88% REED(HB,2) Reeds In...,,,,,,",EARNINGS: Pepsico profits pop on salty snack sales bump
2278,F,"A failure to properly affix steering wheels has triggered a recall of 1.38 million Ford and Lincoln cars in North America.,,,,,,",'Potentially loose' steering wheel triggers Ford recall of 1.4 million cars
2279,KHC,nan,Fundsmith Annual Letter To Shareholders 2017
2280,CTL,nan,Global Recession Risk Rising
2281,TXT,"In the early 1950s, B.F. “Bev” Dolan and his older brother Billy agreed somebody was going to make a killing on motorized golf cars. So the two brothers in Augusta, Ga., began working in a machine shop on their own fairway rambler.,,,,,,",B.F. ‘Bev’ Dolan Rode a Golf Car All the Way to the Top Job at Textron
2282,AVY,"NA,,,,,,",Avery's (AVY) CEO Mitch Butier on Q4 2017 Results  Earnings Call Transcript
2283,GS,"year Treasury note will be yielding 3.6 percent by the end of 2019.,,,,,,",Goldman: Something strange is happening with the US economy that could cause interest rates to jumpGoldman Sachs projects the 10
2284,NWL,"U.S. stocks ended mixed on Tuesday as investors continued to wrestle with the prospect of rising rates. The S&P 500 closed 4 points lower, or 0.1%, to around 2,880. The Dow Jones Industrial Average shed 56 points, or 0.2%, to around 26,431. The Na...,,,,,,",S&P 500 logs 4session slump amid extended rate rise
2285,VMC,"Vulcan Materials (VMC) has priced a private offering of $350M in debt. The company's offering that amount in unsecured 4.7% notes due 2048, at 99.887% of f,,,,,,",Vulcan Materials prices $350M 30year debt offering
2286,CI," Earnings Call Slides-NA,,,,,,",Cigna Corp. 2017 Q4  Results 
2287,SLB," state oil firm-LUANDA, Feb 28 (Reuters) - A fire erupted at a facility used by U.S. oil services company Schlumberger NV at Angola's oil logistics hub in the capital Luanda, the chairman of state-run oil company Sonangol said on Wednesday.,,,,,,",UPDATE 2Fire erupts at Schlumberger facility in Angola 
2288,LRCX,nan,Lam Research Rises In Semiconductor Etch Sector On Heels Of 3D NAND Memory
2289,DVN,"The shale driller remains very optimistic about what lies ahead.,,,,,,",5 Things Devon Energy Corp's CEO Wants You to Know About its Vision for the Future
2290,EW,nan,House repeals tax on medical devices
2291,ROP,"cash deal valued at $1.1 billion-Roper Technologies Inc.                                                                                                                                                                                                      ...,,,,,,",Roper Technologies to acquire PEbacked PowerPlan in all
2292,NBL,"Yahoo Finance's Jared Blikre joins Seana Smith from the floor of the New York Stock Exchange to discuss the latest market moves after Saudi Arabia reportedly increased crude oil production by 330,000 barrels per day in June.Here's the performanc...,,,,,,","MARKETS: Crude oil refuses to stay down on bearish news, which is bullish"
2293,NVDA,nan,By The Numbers: Technology Stocks With Rising Expectations
2294,NRG,"NRG Energy (NRG) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,,,,,,",NRG Energy (NRG) Up 13.4% Since Earnings Report: Can It Continue?
2295,PYPL,"NEW YORK, NY / ACCESSWIRE / February 2, 2018 / The following statement is being issued by Levi & Korsinsky, LLP: To: All persons or entities who purchased or otherwise acquired securities of PayPal Holdings, ...,,,,,,","DEADLINE MONDAY: Levi & Korsinsky, LLP Reminds Shareholders of PayPal Holdings, Inc. of a Class Action Lawsuit and a Lead Plaintiff Deadline of February 5, 2018  PYPL"
2296,ABT,nan,FDA OKs Biotronik device for coronary artery perforations
2297,CMS,"CMS Energy (CMS) aims at investing nearly $18 billion during 2017-2026 for upgrading gas and electric infrastructure and also making significant renewable energy investments.,,,,,,",CMS Energy Files LongRun Clean Energy Plan for Michigan
2298,DAL,"2019, the latest airline to take on single-use plastics amid concerns over harm to the environment and wildlife.,,,,,,","Delta plans to ditch plastic straws, stirrers on board next yearDelta Air Lines is planning to ditch plastic straws and stirring sticks on board starting in mid"
2299,FTV,"March 7 (Reuters) - Altra Industrial Motion Corp said on Wednesday it would buy four units of Fortive Corp's automation & specialty business in a $3 billion deal to bolster its presence in the power transmission and motion control industry.,,,,,,",UPDATE 1Altra Industrial to buy Fortive units in $3 bln deal
2300,AXP,"Seeing an opportunity to have a larger impact on Silicon Valley, Chenault plans to join the VC firm General Catalyst Partners.,,,,,,","For his next act, former Amex CEO Ken Chenault turns his focus on Silicon Valley"
2301,ROK,"Rockwell Automation (ROK) earnings beat estimates in fiscal second quarter and hikes fiscal 2018 earnings guidance backed by favorable global manufacturing environment.,,,,,,","Rockwell Automation (ROK) Tops on Q2 Earnings, Hikes Outlook"
2302,EOG,nan,Hartstreet: Newfield May Be The Best Oil Producer In The Bakken
2303,CCL,nan,Can Las Vegas Sands Fit Into A Dividend Growth Portfolio?
2304,JCI,nan,"Johnson Controls International beats by $0.02, beats on revenue"
2305,LOW,nan,Lowe's declares $0.41 dividend
2306,NKE,"old Serena Williams being encouraged on the court by her father — and he told her to play 'like you're at the US Open'-Nike has utilised a home movie of a 9-year-old Serena Williams to produce an unmissable ad for the US Open. The clip features Williams and her father Richard Williams, who can be heard telling her to imagine she is at the US Open — a tournament sh...,,,,,,",Nike just dropped a moving ad showing a 9year
2307,GOOG,"YouTube removed videos from conspiracy theorist David Icke after we contacted the company.,,,,,,",The YouTube Kids app has been suggesting a load of conspiracy videos to children
2308,MO,nan,Will Rising Rates Derail This 11.95% Yielding REIT?
2309,NWS,"News Corp Executive Chairman Rupert Murdoch said if Facebook is serious about promoting “trusted content” and filtering fake news out of its news feed, it should pay publishers fees similar to those cable distributors pay to TV channels.,,,,,,",News Corp's Murdoch Urges Facebook to Pay Publishers for Content
2310,AXP,"India's central bank is standing firm on a directive to compel global payment firms to store customer data in India, resisting calls from U.S. companies to dilute an order they say would cost them millions of dollars, people familiar with the matt...,,,,,,","Local data storage: Visa, Mastercard push to make RBI fall in line comes undone"
2311,HCA,nan,Value SuperScreen Unleashed
2312,PFE,"Two high conviction themes that Amit Khurana, Director, Research, Dolat Capital, suggests to ET Now are corporate banks and consumer 65587127 65576375 65572145 durables. Khurana is bullish on Balkrishna, ACC, ITC and Tech Mahindra.Edited excerpts:...,,,,,,",4 mustbuy stock ideas from Amit Khurana of Dolat Capital
2313,PVH,"PVH CEO Emanuel Chirico discusses the retailer's second quarter earnings report.,,,,,,",PVH CEO Emanuel Chirico discusses quarterly earnings
2314,DISCA,"NA,,,,,,",Discovery focuses autoenthusiast brands on Motor Trend
2315,JNJ,"NA,,,,,,",AbuseDeterrent Opioids: A Business Answer To The Opioid Abuse Crisis
2316,AME,nan,Ametek declares $0.14 dividend
2317,KEY,nan,Banks climb for third day anticipating strong earnings
2318,SWKS,"A weak smartphone market caused management to issue soft guidance.,,,,,,",Skyworks Solutions Exceeds Guidance but Predicts a Challenging Quarter Ahead
2319,DE,"NA,,,,,,",Senior Housing Properties Trust's Yield Is A Red Flag  Cramer's Lightning Round (3/2/18)
2320,KEY,"Cohn's comments illuminate in part why he left a White House insistent on shifting the trade balance with key partners.,,,,,,","ExTrump advisor Gary Cohn says trade deficits don't matter, contradicting the president"
2321,EIX,nan,"PG&E, Edison price targets raised at Goldman Sachs on wildfire legislation"
2322,IFF,"NA,,,,,,",Four DoubleDigit Payout Increases Expected In August
2323,BBY,"Is Best Buy Co. (BBY) a great pick from the value investor's perspective right now? Read on to know more.,,,,,,",Is Best Buy Co. (BBY) a Great Stock for Value Investors?
2324,KSS,nan,Kohl's: Was It So Bad?
2325,REG,nan,Regency Centers beats by $0.03
2326,PG,nan,Dividend Sensei's Portfolio Update 38: Why The Stock Market Might Soar 22% In The Next 18 Months And Then Crash 50%
2327,MU,"Micron Technology, Intel and Lam Research are good buys on this heat in semiconductors....QCOM,,,,,,",Own These 3 Chip Stocks on AMD's Earnings Beat
